Longitude,Latitude,Value
82.916795,55.074783,62162
83.098015,54.894549,62327
82.941375,55.014605,75499
82.898414,54.978583,84536
82.841536,54.971422,60795
82.982066,54.92154,53751
83.533718,55.281116,37643
82.993096,54.864068,52392
82.967052,55.074046,75804
83.059015,54.747768,60728
83.009113,55.053957,38182
82.949182,55.11651,59026
82.98161,54.860492,38144
82.909426,54.966798,45385
82.870791,54.974906,65630
82.921988,55.055481,68889
82.902407,54.981696,90000
82.979799,55.059391,65297
83.054654,54.747149,47717
82.766949,54.885515,37094
82.921527,55.059842,85154
83.272666,54.655052,37874
82.846693,54.976579,22692
82.912075,55.040437,85673
83.09151,54.817994,74107
82.948285,55.039815,74738
82.897901,54.964702,77305
83.115989,54.948841,43562
83.182845,54.939845,61866
82.997529,55.169852,38710
83.087228,54.766173,51500
82.983261,55.045137,84242
82.927809,55.043911,85599
82.810025,54.978339,77900
82.871418,54.96811,60036
83.109192,54.938345,65970
83.145692,55.202156,23639
82.862755,54.98806,66477
82.91063,55.047737,87692
82.971506,54.860012,51766
83.05599,54.747958,44670
83.631768,55.305317,11364
82.960295,55.047292,49612
82.433345,54.989483,40000
82.667286,54.991042,28921
83.288136,54.617316,38161
82.708483,54.990648,38043
82.88725,55.129271,85325
83.021522,55.04041,65219
82.97142,55.076341,63481
82.914994,55.043721,86935
82.971585,55.106419,58218
83.007103,54.944244,57112
82.9695,55.076462,60928
83.068429,54.74803,50732
82.906986,55.059441,109643
82.972198,54.855001,50980
83.02771,55.001862,61854
82.902072,55.03966,70850
82.85132,54.987616,62655
83.058185,54.966743,61130
82.894837,54.986339,71232
84.38734,55.251657,16667
83.007168,54.943913,50271
82.99575,54.926757,66964
82.930413,55.108522,70610
83.193771,54.944515,73400
82.916771,54.978428,58542
82.962299,55.02902,71866
82.847875,54.812877,40000
82.972742,54.864049,53104
82.986826,55.062538,50000
82.789261,54.985837,31667
82.979921,54.951641,53750
82.89614,54.937102,52536
83.07429,54.735493,64286
83.314303,54.643621,27907
83.011148,55.020821,56904
83.119208,54.958616,44286
82.889042,54.939586,55280
82.966937,55.035322,66119
82.940384,55.038943,76522
82.963615,55.029732,65260
82.878999,54.978913,60101
82.920543,54.936548,51760
82.804804,54.982524,61468
